Year,Month,Location,Type,Employment
2015,April,Vermont,Durable Goods manufacturing,19677.0
2015,April,Vermont,Non-Durable Goods manufacturing,10987.0
2015,April,Vermont,Service Providing domain,199567.0
2015,April,Vermont,"Trade, Transportation, and Utilities supersector",54251.0
2015,April,Vermont,Wholesale trade,9215.0
2015,April,Vermont,Retail trade,37145.0
2015,April,Vermont,Transportation and warehousing,6330.0
2015,April,Vermont,Utilities,1561.0
2015,April,Vermont,Information supersector,4647.0
2015,April,Vermont,Financial Activities supersector,11558.0
2015,April,Vermont,Finance and insurance,8727.0
2015,April,Vermont,Real estate and rental and leasing,2831.0
2015,April,Vermont,Professional and Business Services supersector,27051.0
2015,April,Vermont,Professional and technical services,14211.0
2015,April,Vermont,Management of companies and enterprises,2247.0
2015,April,Vermont,Administrative and waste services,10593.0
2015,April,Vermont,Education and Health Services supersector,59670.0
2015,April,Vermont,Educational services,10064.0
2015,April,Vermont,Health care and social assistance,49606.0
2015,April,Vermont,Leisure and Hospitality supersector,33550.0
2015,April,Vermont,"Arts, entertainment, and recreation",3538.0
2015,April,Vermont,Accommodation and food services,30012.0
2015,April,Vermont,"Other services, except public administration supersector",8840.0
2015,April,Vermont,Unspecified industry supersector,
2015,April,Vermont,Federal Government,6815.0
2015,April,Vermont,State government,16638.0
2015,April,Vermont,Local government,31295.0
2016,April,Vermont,Total Covered -  all ownerships,302885.0
2016,April,Vermont,Private ownership,248432.0
2016,April,Vermont,Goods Producing domain,48143.0
2016,April,Vermont,Natural Resources and Mining supersector,3746.0
